region,flow,entity,budget_item,source,value
Ayeyawady,income,"High Court, Advocate General, Auditor General",Region/State Cabinet,Other Income,1681.353
Ayeyawady,income,"High Court, Advocate General, Auditor General",Courts,Other Income,71.304
Ayeyawady,income,"High Court, Advocate General, Auditor General",Legal Offices,Other Income,0.91
Ayeyawady,income,"High Court, Advocate General, Auditor General",Accounting Offices,Other Income,0.145
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Ordinary Expenditure,431.78
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Region/State Hluttaw,Ordinary Expenditure,493.901
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Courts,Ordinary Expenditure,683.454
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Legal Offices,Ordinary Expenditure,285.258
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Accounting Offices,Ordinary Expenditure,703.645
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Grants,1681.353
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Region/State Cabinet,Capital Expenditure,215.6
Ayeyawady,expenditure,"High Court, Advocate General, Auditor General",Courts,Capital Expenditure,47.97
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Excise Revenue,Tax Revenue,712.812
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Land Revenue,Tax Revenue,33.356
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Embankment Tax,Tax Revenue,7.781
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Forest,Tax Revenue,400.573
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Tax for extraction from Minerals ,Tax Revenue,11.787
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Lakes/streams tax,Tax Revenue,3377.955
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Supervision cost for amending land revenues,Tax Revenue,3339.483
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Property Tax,Tax Revenue,511.397
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Wheel Tax,Tax Revenue,168.891
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Revenue from Regional State Owned Enterprises,State Owned Enterprises,159.626
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",General Administration Department,Other Income,12.242
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Special Investigation Department,Other Income,0.031
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Cooperative Department,Other Income,4.92
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Water Resources Utilization Department,Other Income,31.141
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Agriculture Department,Other Income,32
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Fisheries Department,Other Income,19.81
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Livestock Breeding and Veterinary Department,Other Income,2.872
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Forestry,Other Income,20.416
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Sports and Physical Education Department,Other Income,0.035
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Planning Department,Other Income,0.038
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Human Settlement and Housing Development Department,Other Income,0.47
Ayeyawady,income,"Ministries, Administrative Departments, Municipals",Public Works,Other Income,66.791
